Sitting Day,Senate Link,Reps Link
16/11/1995,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1995-11-16/toc_sgml/senate 1995-11-16.sgm,
15/11/1995,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1995-11-15/toc_sgml/senate 1995-11-15.sgm,
14/11/1995,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1995-11-14/toc_sgml/senate 1995-11-14.sgm,
13/11/1995,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1995-11-13/toc_sgml/senate 1995-11-13.sgm,
26/10/1995,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1995-10-26/toc_sgml/senate 1995-10-26.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1995-10-26/toc_sgml/reps 1995-10-26.sgm
25/10/1995,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1995-10-25/toc_sgml/senate 1995-10-25.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1995-10-25/toc_sgml/reps 1995-10-25.sgm
24/10/1995,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1995-10-24/toc_sgml/senate 1995-10-24.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1995-10-24/toc_sgml/reps 1995-10-24.sgm
23/10/1995,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1995-10-23/toc_sgml/senate 1995-10-23.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1995-10-23/toc_sgml/reps 1995-10-23.sgm
19/10/1995,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1995-10-19/toc_sgml/senate 1995-10-19.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1995-10-19/toc_sgml/reps 1995-10-19.sgm
18/10/1995,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1995-10-18/toc_sgml/senate 1995-10-18.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1995-10-18/toc_sgml/reps 1995-10-18.sgm
17/10/1995,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1995-10-17/toc_sgml/senate 1995-10-17.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1995-10-17/toc_sgml/reps 1995-10-17.sgm
16/10/1995,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1995-10-16/toc_sgml/senate 1995-10-16.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1995-10-16/toc_sgml/reps 1995-10-16.sgm
28/09/1995,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1995-09-28/toc_sgml/senate 1995-09-28.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1995-09-28/toc_sgml/reps 1995-09-28.sgm
27/09/1995,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1995-09-27/toc_sgml/senate 1995-09-27.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1995-09-27/toc_sgml/reps 1995-09-27.sgm
26/09/1995,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1995-09-26/toc_sgml/senate 1995-09-26.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1995-09-26/toc_sgml/reps 1995-09-26.sgm
25/09/1995,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1995-09-25/toc_sgml/senate 1995-09-25.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1995-09-25/toc_sgml/reps 1995-09-25.sgm
21/09/1995,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1995-09-21/toc_sgml/senate 1995-09-21.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1995-09-21/toc_sgml/reps 1995-09-21.sgm
20/09/1995,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1995-09-20/toc_sgml/senate 1995-09-20.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1995-09-20/toc_sgml/reps 1995-09-20.sgm
19/09/1995,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1995-09-19/toc_sgml/senate 1995-09-19.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1995-09-19/toc_sgml/reps 1995-09-19.sgm
18/09/1995,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1995-09-18/toc_sgml/senate 1995-09-18.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1995-09-18/toc_sgml/reps 1995-09-18.sgm
31/08/1995,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1995-08-31/toc_sgml/senate 1995-08-31.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1995-08-31/toc_sgml/reps 1995-08-31.sgm
30/08/1995,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1995-08-30/toc_sgml/senate 1995-08-30.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1995-08-30/toc_sgml/reps 1995-08-30.sgm
29/08/1995,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1995-08-29/toc_sgml/senate 1995-08-29.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1995-08-29/toc_sgml/reps 1995-08-29.sgm
28/08/1995,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1995-08-28/toc_sgml/senate 1995-08-28.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1995-08-28/toc_sgml/reps 1995-08-28.sgm
24/08/1995,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1995-08-24/toc_sgml/senate 1995-08-24.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1995-08-24/toc_sgml/reps 1995-08-24.sgm
23/08/1995,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1995-08-23/toc_sgml/senate 1995-08-23.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1995-08-23/toc_sgml/reps 1995-08-23.sgm
22/08/1995,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1995-08-22/toc_sgml/senate 1995-08-22.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1995-08-22/toc_sgml/reps 1995-08-22.sgm
30/06/1995,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1995-06-30/toc_sgml/senate 1995-06-30.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1995-06-30/toc_sgml/reps 1995-06-30.sgm
29/06/1995,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1995-06-29/toc_sgml/senate 1995-06-29.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1995-06-29/toc_sgml/reps 1995-06-29.sgm
28/06/1995,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1995-06-28/toc_sgml/senate 1995-06-28.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1995-06-28/toc_sgml/reps 1995-06-28.sgm
